Name of Hike,Difficulty,Length,"Location (Latitude, Longitude)"
"Potanipo Hill Southway Trail Loop
",4,2.3,"42.4337, -71.4020"
"Beaver Brook Wildlife, Hidden Ponds, Jeff Smith Loop
",5,5.3,"42.4353, -71.3621"
"Kidder Mountain
",4,2.9,"42.4658, -71.5257"
"Gap Mountain North Trail
",3,2.6,"42.4945, -72.0753"
"Old Halfway House Trail to White Arrow Trail Loop
",4,4.5,"42.5034, -72.0654"
Monadnock Mountain via Cliff Walk and Halfway House,3,6.1,"42.5059, -72.0648"
"Mount Monadnock via White Dot Trail
",3,3.4,"42.5122, -72.0544"
Mount Monadnock via White Dot and Lost Farm Trail Loop,3,4.6,"42.5126, -72.0546"
"Mount Monadnock via White Dot and White Cross Trails
",3,3.8,"42.5135, -72.0616"
"Mount Monadnock via Dublin Trail
",3,4.4,"42.5138, -72.0629"
"Mount Monadnock via White Arrow Trail
",3,4.2,"42.5138, -72.0629"
"Mount Monadnock via Marlboro Trail
",4,3.9,"42.5138, -72.0629"
"North Pack Monadnock Mountain via Wapack Trail
",4,2.9,"42.5138, -72.0629"
"Monadnock Mountain via Birchtoft Trail
",4,6.4,"42.5138, -72.0629"
"Mount Monadnock via White Dot Trail to Pumpelly Trai…
",3,5.4,"42.5138, -72.0629"
"North Pack Monadnock via Wapack and Cliff Trail
",3,5.3,"42.5138, -72.0629"
"Mt. Monadnock via Cascade, Red Spot, Pumpelly",4,4.1,"42.5138, -72.0629"
"Ted's Trail
",4,5.4,"42.5427, -71.5104"
"Uncanoonuc North Peak via White Dot Trail
",3,2.1,"42.5934, -71.3550"
"South Uncanoonuc via Summit Trail and Walker Trail
",3,2.4,"42.5934, -71.3550"
"South Uncanoonuc via Link and Summit Trail
",3,2.5,"42.5934, -71.3550"
"South Uncanoonuc Summit Trail to Lake
",3,2.3,"42.5934, -71.3550"
"North Uncanoonuc Mountain via White Dot and Red D…
",4,2.1,"42.5934, -71.3550"
"North Uncanoonuc Mountain via Blue and Red Loop
",4,2.1,"42.5934, -71.3550"
"Crotched Mountain Lookout via Shannon's Trail
",3,3.2,"42.5952, -71.5226"
"Nashua River Trail
",3,5,"42.636125729056914, -71.57475795742039"
"Mine Falls Green Trail Loop
",1,2.1,"42.749588095030354, -71.50528851726038"
"Wapack Trail and Marion Davis Trail
",4,2.6,"42.84938094883536, -71.88646786043265"
"White Cross Trail
",4,3.8,"42.84938094883536, -71.88646786043265"
